index,Sku,Catalog,Category,Weight,TP,MRP Old,Final MRP Old,Ajio MRP,Amazon MRP,Amazon FBA MRP,Flipkart MRP,Limeroad MRP,Myntra MRP,Paytm MRP,Snapdeal MRP
0,OS206_3141_S,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
1,OS206_3141_M,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
2,OS206_3141_L,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
3,OS206_3141_XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
4,OS206_3141_2XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
5,OS206_3141_3XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
6,OS223_3142_S,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
7,OS223_3142_M,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
8,OS223_3142_L,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
9,OS223_3142_XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
10,OS223_3142_2XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
11,OS223_3142_3XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
12,OS212_3143_S,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
13,OS212_3143_M,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
14,OS212_3143_L,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
15,OS212_3143_XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
16,OS212_3143_2XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
17,OS212_3143_3XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
18,OS214_3144_S,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
19,OS214_3144_M,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
20,OS214_3144_L,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
21,OS214_3144_XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
22,OS214_3144_2XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
23,OS214_3144_3XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
24,OS207_3145_S,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
25,OS207_3145_M,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
26,OS207_3145_L,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
27,OS207_3145_XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
28,OS207_3145_2XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
29,OS207_3145_3XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
30,OS202_3146_S,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
31,OS202_3146_M,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
32,OS202_3146_L,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
33,OS202_3146_XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
34,OS202_3146_2XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
35,OS202_3146_3XL,Moments,Kurta,0.3,538,2178,2295,2295,2295,2295,2295,2295,2295,2295,2295
36,OS181_5051_S,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
37,OS181_5051_M,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
38,OS181_5051_L,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
39,OS181_5051_XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
40,OS181_5051_2XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
41,OS181_5051_3XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
42,OS191_5052_S,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
43,OS191_5052_M,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
44,OS191_5052_L,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
45,OS191_5052_XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
46,OS191_5052_2XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
47,OS191_5052_3XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
48,OS197_5053_S,Colors-8,Kurta,0.3,438,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
49,OS197_5053_M,Colors-8,Kurta,0.3,438,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
50,OS197_5053_L,Colors-8,Kurta,0.3,438,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
51,OS197_5053_XL,Colors-8,Kurta,0.3,438,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
52,OS197_5053_2XL,Colors-8,Kurta,0.3,438,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
53,OS197_5053_3XL,Colors-8,Kurta,0.3,438,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
54,OS219_5054_S,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
55,OS219_5054_M,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
56,OS219_5054_L,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
57,OS219_5054_XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
58,OS219_5054_2XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
59,OS219_5054_3XL,Colors-8,Kurta,0.3,438,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
